name,address,phones,cuisine,category,working_hours,avg_cost_2_people,features,description,facebook,instagram,twitter,foursquare,email,latitude,longitude,images,url
Elif Restaurant 2,"Tərlan Əliyarbəyov küçəsi, 8",012 4934692; 050 4804692,Türk,Restoranlar,,,,"Təcrübəli və gülərüz personalı ilə müştərilərinə yüksək səviyyədə xidmət göstərən “Elif” restoranı böyük inkişaf yolu keçmişdir. Restoran rəhbərliyi olaraq xidmət sahəsində əsas məqsədlərimiz aşağıdakılardır: - İnsan sağlamlığını ön plana çəkərək gigiyenik cəhətdən təmiz və sağlamlığın qorunduğu şəraitdə keyfiyyətli istehsalat prosesinin təşkili: - Şirkət daxili və xarici insan münasibətlərində hörmət, etibar və sevgi mühitinin formalaşdırılması:",/cdn-cgi/l/email-protection#ec9f858a8d9e859fac8980858a8f8d98899e85828bc28d96,,,,,,,https://bakuguide.com/images/places/51/elif-restaurant-2-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/51-elif-restaurant-2
F - Club Restaurant & Bar,"Xoyski küçəsi, 106",012 4656515; 055 2012494,Beynəlmiləl,Restoranlar,19:00 - 06:00,,Canlı musiqi; İçkilər,,,,,,,40.4026859,49.8635443,https://bakuguide.com/images/places/53/f-club-restaurant-bar-1.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/53-f-club-restaurant-bar
Firuzə,"Tərlan Əliyarbəyov küçəsi, 14",012 4939634; 055 7451121; 050 3186545,,Restoranlar,11:00- sonuncu müştəriyə kim,15-20,Çatdırılma; Wi-Fi,"Milli, Avropa, Yapon və Meksikan mətbəxlərinin gözəl təamarının dadına Firuzə restoranında baxa bilərsiniz.",https://www.facebook.com/Restoran-Firuze-868412606512427/timeline,,,,,40.3702627,49.8362889,https://bakuguide.com/images/places/54/firuze-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/54-firuze
Finestra Ristorante Italiano,Naxçıvani küç. 14,012 4367854; 012 4367855; 050 2060860,İtaliya,Restoranlar,11:00-23:00,20-25,Canlı musiqi,"Restoranın dizayn və üslub tərtibatında zəriflik cə sadəlik ustalıqla uyğunlaşdırılıb. Ümumi rəng qamması qəhvəyi -bozumtul çalarlardadır. Gündüz vaxtı restoran iş görüşləri, nahar və söhbət üçün ideal məkandır, axşamlar isə dostlar əhatəsində istirahət etmək olar. Restoranın mətbəxi - italyan kulinar ənənələri ilə aşpazın fantaziyasının uyğunluğudur. Dad və ətirin ahəngi zövqünüzü oxşayacaq.",https://www.facebook.com/FinestraBaku,,,,,40.383215,49.826409,https://bakuguide.com/images/places/55/finestra-ristorante-italiano-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/55-finestra-ristorante-italiano
Asya Türk,"Rəşid Behbudov küç., 17",012 4989132,Türk,Restoranlar,11:00-22:00,10,Masaların sifarişi,"Restoran yaxşı türk mətbəxini sevərlər arasında çox populyardır, çünki nəinki dadlı yeməkləri, həm də yaxşı xidmətilə məşhurdur. Burada siz özünüzə birinci və ya ikinci mərtəbədə rahat yer seçə bilərsiniz.",https://www.facebook.com/AsyaTurkRestorantBaku?fref=ts,,,http://4sq.com/X7cjH9,,,,https://bakuguide.com/images/places/57/asya-turk-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/57-asya-turk
Half Way Inn Baku,"28 May küçəsi, 6 Nəsimi r-nu",012 5980910; 012 5980905,Avropa,Restoranlar,12:00-00:00,,Canlı musiqi; Karaoke; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar,"Burada siz rahatliğla istədiyiniz tədbirinizi keçirə bilərsiniz: toy, ildönümü, banket və ya korporativ şənliyik. Professional aşbazlar sizin üçün avropa mətbəxindən istədiyiniz şifarişi hazırlayacağlar. Restoranımıza yalnız böyük şənliklər üçün deyil- dostlarınızla əylənməyə və ailənizlə istirahət etməyədə gəlin.Canlı musiqi sizə istirahət etməyə yardım edəcək, əylənmək istədiniyiniz halda isə, sizin qulluğunuzda böyük çeşiddə müxtəlif kompozisiyalı karaoke təqdim olunur.",,,,,,,,https://bakuguide.com/images/places/59/half-way-inn-baku-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/59-half-way-inn-baku
"""İl Gusto"" italyan restoranı","Mərdanov qardaşları küçəsi, 7",012 4948318; 012 4971864; 050 6490909; 050 3165489,İtaliya,Restoranlar,11.00 - 23.00,20-25,Çatdırılma; Yay terrası; Kredit kartla ödəniş; Masaların sifarişi,"Bu restoranda dünya standartlarına cavab verən və yüksək göstəricilərini özündə əks etdirən 3 əsas faktor mövcüddur. 1. Rahatlıq və sakitlik mühiti. 2. İtaliyalı şef-aşpaz tərəfindən ənənəvi peşakar hazırlama üsullarının istifadəsi. 3. Müasirləşdirilmiş, ekoloji təmiz mətbəx.",https://www.facebook.com/pizzagustobaku?ref=hl,,,,,40.373304,49.8400802,https://bakuguide.com/images/places/64/il-gusto-italyan-restorani-1.png; https://bakuguide.com/images/places/64/il-gusto-italyan-restorani-2.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/64-il-gusto-italyan-restorani
Sherbet Club,"Mərdanov Qardaşları küç., 18",012 5981400,Azərbaycan,Restoranlar,11:00-23:00,25-35,Biznes lanç; Fon musiqisi; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Sərbəst Wi-Fi,"Restoranın qədim divarlar və milli dekorativ elementləri bizi qədim keçmişə aparır. Qədim reseptlər əsasında hazırlanmış milli yeməklər, həmçinin canlı musiqi, sehirli xalq motivləri Sizə unudulmaz dəqiqələr yaşadacaq. Ləzzətli süfrədən sonra sizə ətirli çay, müxtəlif mürəbbələr və Azərbaycan şirniyyatları təklif olunacaq. «Sherbet club» restoranı -müxtəlif tədbirlər və həmçinin «Хına yaxtı» mərasimləri keçirmək üçün ideal məkandır.",https://www.facebook.com/sherbetclub/timeline,,,http://4sq.com/1avpkPX,,,,https://bakuguide.com/images/places/65/sherbet-club-1.png; https://bakuguide.com/images/places/65/sherbet-club-2.png; https://bakuguide.com/images/places/65/sherbet-club-3.png; https://bakuguide.com/images/places/65/sherbet-club-4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/65-sherbet-club
ART Garden,"A. Zeynallı küç. 22 (Kiçik Karvansaray), İçəri Şəhər, AZ1000 Bakı, Azərbaycan",012 4921331; 050 6691331,Avropa; Azərbaycan,Restoranlar,11:00 -00:00,45-55,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; Kredit kartla ödəniş; Masaların sifarişi; Qəlyan; Sərbəst Wi-Fi,"""ART Garden"" restoranı 12-15-ci əsrlərə aid, divarlarına qədim Azərbaycan tarixi hopmuş qeyri-adi məkandır. Azərbaycan mətbəxli bu restoranının köhnə divarları, milli dekorativ elementləri, qədim xalçaları, qabları bizi uzaq keçmişə aparır.",https://www.facebook.com/pages/ART-Garden/164514736923928,,,http://4sq.com/gRMwqp,,40.366667,49.835221,https://bakuguide.com/images/places/68/art-garden-1.jpg; https://bakuguide.com/images/places/68/art-garden-2.jpg; https://bakuguide.com/images/places/68/art-garden-3.jpg; https://bakuguide.com/images/places/68/art-garden-4.jpg; https://bakuguide.com/images/places/68/art-garden-5.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/68-art-garden
Karvan,"Bakı ş, Salamzadə küç.10",012 5308808; 012 5308809; 050 2047755; 070 2047755,Avropa; Azərbaycan,Restoranlar,,,Canlı musiqi; Park xidməti,"Oğul evləndirən, qız köçürən valideynlər, ailə qurmağa hazırlaşan gənclər, əylənmək, istirahət etmək istəyən hər kəsi ""KARVAN"" şadlıq sarayına dəvət edirik!",/cdn-cgi/l/email-protection#aec7c0c8c1eec5cfdcd8cfc0dccbdddac1dccfc080cfd4,,,,,40.3971197,49.8142969,https://bakuguide.com/images/places/69/karvan-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/69-karvan
Karvansaray,"Böyük Qala küçəsi, 11 /12, İçəri Şəhər",012 4926668,Azərbaycan; Beynəlmiləl,Restoranlar,10:00-00:00,35-40,Canlı musiqi; VİP otaq; Kredit kartla ödəniş; Masaların sifarişi,"Zamanın nəfəsi, Azərbaycan tarixi hopmuş bu qeyri -adi məkan məhz Bakının keçmişinə qərq olmaq üçün yaradılıb. ""Karvansara"" restoranının qədim divarları, çoxsaylı milli dekorativ elementlər: qədim xalçalar, qab -qacaqlar bizi uzaq keçmişə aparır. Burada qədim reseptlər üzrə böyük məhəbbətlə hazırlanan milli yeməklər verilir. Həmçinin burada canlı musiqi dinləmək, sehirli milli motivlərdən zövq almaq olar.",,,,http://4sq.com/puNRDU,,40.367041,49.836128,https://bakuguide.com/images/places/70/karvansaray-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/70-karvansaray
Palma Lounge,Fəvvarələr Meydanı Bakı AZ1000 Аzərbaycan,012 4920555; 050 7286666,Fast food; İtaliya,Restoranlar,10:00-23:00,20-30,Biznes lanç; Fon musiqisi; İçkilər; Yay terrası; Wi-Fi; Səhər yeməyi; Masaların sifarişi; Take Away,"İnteryerdə istifadə edilən mebel açıq rəngdədir və təbii materiallardan hazırlanıb. Cənub günəşinin şüaları və lounge musiqi qonaqları qumlu sahilə, dənizin yaxınlığına aparır. Avropa mətbəxinin yeməkləri və nəzakətli personal heç kəsi biganə qoymayacaq. Palma Lounge-a hər gəlişiniz Sizin üçün yadda qalan olacaq!",,,,,,,,https://bakuguide.com/images/places/71/palma-lounge-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/71-palma-lounge
Anazya,Əliəşraf Əlizade küç. 45,012 4898860; 051 7585868; 051 9809999,Beynəlmiləl,Restoranlar,12:00-01:00,25-40,Biznes lanç; Fon musiqisi; İçkilər; Yay terrası; Wi-Fi; VİP otaq; Vip zona; Masaların sifarişi; Take Away; Qəlyan; Sərbəst Wi-Fi; Kiçik Kinoteatr; Çay dəstgahı; Park xidməti,"""Anazya"" dadlı yeməklər və qonaqpərvərlik dünyasının qapılarını qonaqların üzünə açır. ""Anazya"" -paytaxtımızın mərkəzində yerləşən beynəlxalq mətbəxli restorandır. Burada sizi peşəkarlar tərəfindən yaradılan dəbdəbəli ab-hava əhatə edəcək. Hər bir zalın interyeri müxtəlif üslubda hazırlanıb: həm klassik üslubda məxmər və ipək bej mebelli zal, müasir və avanqard üslublu zal. Restoranın əsas zalında ailənizlə birlikdə istirahət edə bilərsiniz. Burada çox rahat şəraitdə əla şərabin dadına baxara",/cdn-cgi/l/email-protection#48302d3129242d292a0825292124663a3d,,,http://4sq.com/J74Dx4,,40.3928346,49.8211348,https://bakuguide.com/images/places/74/anazya-1.jpg; https://bakuguide.com/images/places/74/anazya-2.jpg,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/74-anazya
Aristocrat,"Səməd Vürğun küç., 23",012 5980055,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/79-aristocrat
AzUn,"H.Cəvid pr., 528-ci kvartalı",012 4087435; *6262,,Restoranlar,09:00 - 21:00,,,Yerində hazırlanmış müxtəlif çeşidlərdə çörəklər və şirniyyat məmulatları ilə sizləri və ailənizi sizə yaxın olan şəbəkə marketlərə və mağazalara dəvət edirik. Yadda qalan günlərinizi və özəl anlarınızı bizə etibar edin. Professional ustalarımız tərəfindən hazırlanmış tortlar gününüzü daha da yadda qalan edəcək.,https://www.facebook.com/azunbaku/timeline,,https://twitter.com/AzUnBaku,,,,,https://bakuguide.com/images/places/85/azun-1.png; https://bakuguide.com/images/places/85/azun-2.png; https://bakuguide.com/images/places/85/azun-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/85-azun
AzUn 2,"M.Muxtarov küç., 3",,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/86-azun-2
Azza 2,"Cəfər Cabbarlı küç., 44, ""Caspian Plaza""",012 4373511,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/89-azza-2
Bakı Gecələri,"Gülbala Əliyev küç., 24",012 4912044,Avropa; Azərbaycan,Restoranlar,10:00-24:00,25-55,Canlı musiqi; Fon musiqisi; Kredit kartla ödəniş; Masaların sifarişi; Sigaret çəkməyən və çəkənlər üçün masalar,"Aydin işıqlandırma , böyük olmayan hovuz, iri sahəsi, banket zalı, rəks etmək üçün geniş səhnə , restoranın yüksək səviyyədə xidməti - hələ bunlar restoranın bütün üstünlükləri deyildir. Həmçinin dadlı yeməklərin hazırlanması və müştərilərimizə qarşı diqqətli, səmimi və göz oxşayan servisimizlə xidmətinizdəyik.",https://www.facebook.com/BAKI.GECELERI.Restoran/timeline,,,,,40.3423067,49.8271368,https://bakuguide.com/images/places/91/baki-geceleri-1.png; https://bakuguide.com/images/places/91/baki-geceleri-2.png; https://bakuguide.com/images/places/91/baki-geceleri-3.png; https://bakuguide.com/images/places/91/baki-geceleri-4.png; https://bakuguide.com/images/places/91/baki-geceleri-5.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/91-baki-geceleri
Balık Ekmek,"Nizami küç., 79",012 4154567,Türk,Restoranlar,10:00-24:00,,,"2010-cu ilin aprel ayında "" Balik Ekmek "" ilk olaraq Bakı, restoran bazarına gəldi. Bu gün "" Balik - ekmek "" - Azərbaycanda markaya malik müstəsna hüququ olaraq qeydə alınmış ticarət nişanıdır .",https://www.facebook.com/balikekmek.az/timeline,,,,,40.372783,49.839885,https://bakuguide.com/images/places/93/balik-ekmek-1.png; https://bakuguide.com/images/places/93/balik-ekmek-2.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/93-balik-ekmek
Baskin Robbins,"Neftçilər pr., 1, ""Park Bulvar""",012 5987311; 012 5987312; 012 5987313,,Restoranlar,,,,,,,,,,,,https://bakuguide.com/images/places/94/baskin-robbins-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/94-baskin-robbins
Bateel,Fuzuli küç. 28,012 5116934,İtaliya,Restoranlar,10:00 - 22:00,,,"Dadlı şokalatlar, nəfis və ləzzətli şirniyyatlar, geniş çeşidli delikateslər aləminə xoş gəlmisiniz. Bizim delikasteslər hamısı təbii, faydalı məhsullardan hazırlanmışdır. Bizim şirniyyat və şokalad çeşidlərimizin əksəriyyətinin tərkibi İtalyadan gətirilmişdir.",https://www.facebook.com/pages/Bateel-Baku/166288860187479?fref=ts,,,,,40.379004,49.84682,https://bakuguide.com/images/places/95/bateel-1.png; https://bakuguide.com/images/places/95/bateel-2.png; https://bakuguide.com/images/places/95/bateel-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/95-bateel
Beluga Bar,"İzmir küç., 1033, ""Hyatt Tower""",012 4961234,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/96-beluga-bar
Beluga Balıq Restoranı,"Y.Səfərov küç., 23/A",012 4964999,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/97-beluga-baliq-restorani
Xutor restoranı,"Muxtarov küçəsi, 9 / 3",012 4372223,Ukrayna,Restoranlar,11:00-23:00,15-20,Biznes lanç; Canlı musiqi; Fon musiqisi; İçkilər; Wi-Fi; Masaların sifarişi,"Rahat Ukrayna evi üslubunda interyer, 18:00 -dan sonra canlı musiqi. Ukrayna mətbəxi süfrədə yemək bolluğu ilə məşhurdur. Nəzakətli ev sahibləri və cürbəcür yeməklər - ukraynasayağı qonaqpərvəlik, gəlin -peşman olmayacaqsınız.",https://www.facebook.com/restoran.xutor?fref=ts,,,http://4sq.com/J8IjaS,,,,https://bakuguide.com/images/places/99/xutor-restorani-1.png; https://bakuguide.com/images/places/99/xutor-restorani-2.png; https://bakuguide.com/images/places/99/xutor-restorani-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/99-xutor-restorani
Welсome to Bavaria,"Həsən Abdullayev küç. 10, AZ1001 Bakı",012 4373247; 050 4340047; 055 8710301,Beynəlmiləl,Restoranlar,11:00-03:00,,,"Bakının mərkəzində yerləşən Bavaria Pub&Grill Azərbaycan və beynəlxalq təamlar və əyləncə ilə müşayiət olunan orijinal sərinləşdirici Alman, Belçika və İngilis pivələri təklif edir. Qonaqlara gülərüz ofisiantlarımız tərəfindən yüksək səviyyəli xidmət göstərilir. Futbol azarkeşləri böyük ekranlarda yayımlanan Avropa liqalarını və beynəlxalq futbol oyunlarını zövqlə və dostluq mühitində izləməyə dəvət olunur.",https://www.facebook.com/bavariapubbaku/timeline,,,,,40.3674614,49.8312321,https://bakuguide.com/images/places/103/welsome-to-bavaria-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/103-welsome-to-bavaria
Paris Bistro,"Zərifə Əliyeva, 1/4 AZ",012 4048215,Fransız,Restoranlar,,,,"Paris Bistro Paris üslublu antik güzgüsü, zərif mebeli və qurğuları ilə isti və qonaqpərvər abu havanı yaradır. Konsepsiyanın əsas elementləri sadə xidmət, rahat atmosfer və orijinal qida ilə yanaşı sərfəli qiymətlər və keyfiyyətli şərablardır.",https://www.facebook.com/ParisBistroAz/timeline,,,,,40.367821,49.838228,https://bakuguide.com/images/places/104/paris-bistro-1.png; https://bakuguide.com/images/places/104/paris-bistro-2.png; https://bakuguide.com/images/places/104/paris-bistro-3.png; https://bakuguide.com/images/places/104/paris-bistro-4.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/104-paris-bistro
Zevs Lounge Club,"Nizami küç., 48, ""İsr Plaza""",012 4986569; 055 5801191,Avropa; Azərbaycan,Restoranlar,10:00 - 03:00,10-30,İçkilər; Karaoke; Qəlyan,"""ZEVS Lounge Club"" xidmətləri: - Çay - Qəlyan - Spirtli içkilər - Playstation - VİP otağlarda karaoke - Milli mətbəx - Avropa mətbəxi - İstədiyiniz son filmlərə baxmaq imkanı - Gənclər üçün əyləncə gecələri - Bar",https://www.facebook.com/zevsshishalounge/timeline,,,,,40.3763854,49.8537593,https://bakuguide.com/images/places/105/zevs-lounge-club-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/105-zevs-lounge-club
AU 79,"Xocalı pr., 55, ""AGA"" Business Center, 1-ci mərtəbə",012 4644198,Dəniz; İtaliya; Meksika,Restoranlar,09:00-23:00,15-20,Biznes lanç; Çatdırılma; Fon musiqisi; İçkilər; Wi-Fi; Səhər yeməyi; Kredit kartla ödəniş; Masaların sifarişi; Take Away; Sərbəst Wi-Fi; Park xidməti,"Axı uğurlu gün üçün yaxşı səhər yeməyi çox vacibdir. 12:00-dan 16:00-a qədər isə sizə hər gün yenilənən Lanç Menyu təklif edirik. Axşamlar sizləri rahat ab-hava, xoş musiqi, kokteyl və təkrarsız menyu gözləyir",https://www.facebook.com/Au79CR,,,http://4sq.com/sITStq,,40.383323,49.877812,https://bakuguide.com/images/places/111/au-79-1.png; https://bakuguide.com/images/places/111/au-79-2.png; https://bakuguide.com/images/places/111/au-79-3.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/111-au-79
The Great Wall - Chinese Restaurant,"Hacıbəyov küçəsi, 26",012 4937672; 050 5900668,,Restoranlar,,,,,,,,,,,,,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/112-the-great-wall-chinese-restaurant
Brot Haus,"Nizami küç., 122A",012 5985959; 050 5986167,Almaniya,Restoranlar,,,,"Brothaus 2010-cu ildən etibarən Azərbayanda fəaliyyət göstərir və Alman çörəklərinin, şirniyyat və tortlarının satışını həyata keçirir. Almaniyada istehsal olunan məhsullar xüsusi nəqliyyat vasitəsi ilə Brothaus Çörək Evinə çatdırılır. Brothaus`da müxtəlif çeşidlərdə ənənəvi üsullarla hazırlanmış çörəklər, hər zövqə və damaq dadına uyğun müxtəlif növ tortlar müştərilərə təqdim olunur. Mağazamızda diabetlər üçün də çörək və tort növləri əldə edə bilərsiniz.",https://www.facebook.com/pages/BROT-HAUS/662685373752706?sk=timeline,,,,,40.3749508,49.8474732,https://bakuguide.com/images/places/116/brot-haus-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/116-brot-haus
Terraсe Garden 3 floor restaurant,"Böyük Qala küçəsi, 20  İçəri Şəhər",012 4372305; 055 4040031,,Restoranlar,,8-15,,,https://www.facebook.com/terracebaku/timeline,,,,,40.3664654,49.8357749,https://bakuguide.com/images/places/117/terrase-garden-3-floor-restaurant-1.png,https://bakuguide.com/az/1-yemek-icmek/13-restoranlar/117-terrase-garden-3-floor-restaurant
